name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage

#Player Weapons Player,,,,,,,,,,,,,,,,,,,,,,,
weap_scar_fire_plr,,weapons/scar/weap_scar_fire.wav,0.95,1,wpnplyr,0.98,1.02,500000,,local,,,,0.85,all_mp,,,,,,,, 0.1
weap_scar_fire_sil_plr,,weapons/scar/weap_scar_fire_sd.wav,0.95,1,wpnplyr,0.98,1.02,500000,,local,,,,0.85,all_mp,,,,,,,, 0.1
weap_scar_clipout_plr,,weapons/scar/weap_scar_clipout.wav,0.95,1,wpnplyr,0.98,1.02,500000,,local,,,,0.85,all_mp,,,,,,,, 0.1
weap_scar_clipin_plr,,weapons/scar/weap_scar_clipin.wav,0.95,1,wpnplyr,0.98,1.02,500000,,local,,,,0.85,all_mp,,,,,,,, 0.1
weap_scar_chamber_plr,,weapons/scar/weap_scar_bolt.wav,0.95,1,wpnplyr,0.98,1.02,500000,,local,,,,0.85,all_mp,,,,,,,, 0.1

#Player Weapons Non-Player,,,,,,,,,,,,,,,,,,,,,,,
weap_scar_fire_npc,,weapons/scar/weap_scar_fire.wav,0.84,0.9,wpnai,1,1,35,10920,weapon,,,,0.7,all_mp,,,,weapon4
weap_scar_fire_sil_npc,,weapons/scar/weap_scar_fire_sd_npc.wav,0.84,0.9,wpnai,1,1,35,10920,weapon,,,,0.7,all_mp,,,,weapon4



